Sesame Street: Ready Set Grover!,,Wii,Misc,Warner Bros. Interactive,0.1,2011
Sesame Street: Ready Set Grover!,,DS,Misc,Warner Bros. Interactive,0.08,2011
Barbie: Jet Set & Style!,,DS,Misc,THQ,0.43,2011
Barbie: Jet Set & Style!,,Wii,Misc,THQ,0.25,2011
Murder She Wrote,,PC,Adventure,Legacy Interactive,0.05,2009
Murder She Wrote,,PC,Adventure,Focus Home Interactive,0.05,2009
Sakura Taisen 2 - Kimi Shinitamou Koto Nakare,,SAT,Adventure,Sega,0.53,1998
Sakura Wars 2: Kimi Shinitamou koto Nakare,,DC,Adventure,Sega,0.1,2000
Flower Sun and Rain,,DS,Adventure,Marvelous Interactive,0.07,2009
Shounen Onmyouji: Tsubasa Yoima Ten e Kaere,,PS2,Adventure,Kadokawa Shoten,0.02,2007
Horrid Henry: The Good The Bad and The Bugly,,3DS,Platform,Asylum Entertainment,0.07,2011
BCFX: The Black College Football Xperience The Doug Williams Edition,,X360,Sports,Aspyr,0.16,2009
The Chronicles of Narnia: The Lion The Witch and The Wardrobe,,GBA,Adventure,Buena Vista,0.67,2005
The Chronicles of Narnia: The Lion The Witch and The Wardrobe,,PS2,Adventure,Buena Vista,0.43,2005
The Chronicles of Narnia: The Lion The Witch and The Wardrobe,,GC,Adventure,Buena Vista,0.28,2005
The Chronicles of Narnia: The Lion The Witch and The Wardrobe,,XB,Adventure,Buena Vista,0.2,2005
The Chronicles of Narnia: The Lion The Witch and The Wardrobe,,DS,Adventure,Buena Vista,0.18,2005
Snipperclips Plus: Cut It Out Together!,,NS,Puzzle,Nintendo,0.12,2017
Blast Works: Build Trade Destroy,,Wii,Shooter,Majesco,0.1,2008
Hanayaka Kana Ware ga Ichizoku: Tasogare Polarstar,,PSP,Visual Novel,Idea Factory,0.02,2013
NewU Fitness First Mind Body Yoga & Pilates Workout,,Wii,Sports,SouthPeak Interactive,0.14,2010
Lupin III: Lupin ni wa Shi o Zenigata ni wa Koi o,,PS2,Adventure,505 Games,0.05,2008
Warhammer 40000: Dawn of War,,PC,Strategy,THQ,0.05,2004
Warhammer 40000: Dawn of War,,PC,Strategy,THQ,0.05,2004
Warhammer 40000: Dawn of War II,,PC,Strategy,THQ,0.47,2009
Warhammer 40000: Dawn of War II,,PC,Strategy,THQ,0.47,2009
Warhammer 40000: Dawn of War II - Chaos Rising,,PC,Strategy,THQ,0.1,2010
Warhammer 40000: Dawn of War II - Chaos Rising,,PC,Strategy,THQ,0.1,2010
Warhammer 40000: Dawn of War II - Retribution,,PC,Strategy,THQ,0.08,2011
Warhammer 40000: Dawn of War II - Retribution,,PC,Strategy,THQ,0.08,2011
Warhammer 40000: Dawn of War III,,PC,Strategy,Sega,0.04,2017
Warhammer 40000: Dawn of War: Soulstorm,,PC,Strategy,THQ,0.02,2008
Warhammer 40000: Dawn of War: Soulstorm,,PC,Strategy,THQ,0.02,2008
Warhammer 40000: Deathwatch,,PS4,Action,Hoplite Research,0.02,2018
Warhammer 40000: Fire Warrior,,PS2,Shooter,THQ,0.15,2003
Warhammer 40000: Inquisitor - Martyr,,PS4,Action,Neocore Games,0.02,2018
Warhammer 40000: Inquisitor - Martyr,,XOne,Action,Neocore Games,0.02,2018
Warhammer 40000: Space Marine,,X360,Shooter,THQ,0.56,2011
Warhammer 40000: Space Marine,,PS3,Shooter,THQ,0.45,2011
Warhammer 40000: Space Marine,,PC,Shooter,THQ,0.2,2011
Warhammer 40000: Squad Command,,PSP,Strategy,THQ,0.33,2007
Warhammer 40000: Squad Command,,DS,Strategy,THQ,0.06,2007
Hi! Hamtaro - Little Hamstersbig Adventures: Ham-Ham Challenge,,DS,Misc,Natsume,0.07,2008
Sakura Wars 4: Koi SeyoOtome,,DC,Adventure,Sega,0.29,2002
Valkyria Chronicles III: Unrecorded Chronicles,,PSP,Role-Playing,Unknown,0.21,1970
TERA,,PC,Role-Playing,Unknown,0.42,1970
Ghostbusters II,,2600,Action,Unknown,0.21,1970
Danganronpa: Trigger Happy Havoc,,PSP,Adventure,Unknown,0.24,1970
Check vs. Mate,,PS3,Misc,Unknown,0.04,1970
Indy 500,,2600,Racing,Atari,0.27,1977
Combat,,2600,Action,Atari,1.25,1977
Air-Sea Battle,,2600,Shooter,Atari,0.98,1977
Super Breakout,,2600,Puzzle,Atari,0.44,1978
Space Invaders,,2600,Shooter,Atari,2.53,1978
Maze Craze: A Game of Cops 'n Robbers,,2600,Action,Atari,0.45,1978
Home Run,,2600,Sports,Atari,0.15,1978
Hangman,,2600,Puzzle,Atari,0.38,1978
Flag Capture,,2600,Action,Atari,0.27,1978
Circus Atari,,2600,Action,Atari,0.46,1978
Breakaway IV,,2600,Puzzle,Sears,0.21,1978
Adventure,,2600,Adventure,Atari,1.3,1978
Slot Machine,,2600,Action,Atari,0.31,1979
Missile Command,,2600,Shooter,Atari,2.76,1980
Karate,,2600,Fighting,Unknown,0.47,1980
Kaboom!,,2600,Misc,Activision,1.15,1980
Ice Hockey,,2600,Sports,Activision,0.49,1980
Freeway,,2600,Action,Activision,0.34,1980
Fishing Derby,,2600,Sports,Activision,0.51,1980
Dragster,,2600,Racing,Activision,0.32,1980
Defender,,2600,Misc,Atari,1.05,1980
Checkers,,2600,Misc,Atari,0.24,1980
Checkers,,2600,Misc,Atari,0.24,1980
Bridge,,2600,Misc,Activision,0.27,1980
Bridge,,2600,Misc,Activision,0.27,1980
Boxing,,2600,Fighting,Activision,0.77,1980
Boxing,,2600,Fighting,Activision,0.77,1980
Asteroids,,2600,Shooter,Atari,4.31,1980
Spider-Man,,2600,Action,Parker Bros.,0.93,1981
Smurf: Rescue In Gargamel's Castle,,2600,Action,Coleco,0.59,1981
River Raid,,2600,Shooter,Activision,1.6,1981
RealSports Volleyball,,2600,Sports,Atari,0.13,1981
RealSports Football,,2600,Sports,Atari,0.26,1981
RealSports Baseball,,2600,Sports,Atari,0.21,1981
Reactor,,2600,Action,Parker Bros.,0.22,1981
Raiders of the Lost Ark,,2600,Action,Atari,0.5,1981
Pitfall!,,2600,Platform,Activision,4.5,1981
Phoenix,,2600,Simulation,Atari,0.45,1981
Ms. Pac-Man,,2600,Puzzle,Atari,1.65,1981
Mouse Trap,,2600,Action,Coleco,0.4,1981
Missile Command,,2600,Shooter,Atari,2.76,1981
Megamania,,2600,Shooter,Activision,1.1,1981
Laser Blast,,2600,Action,Activision,0.39,1981
Laser Blast,,2600,Action,Activision,0.39,1981
King Kong,,2600,Action,Tigervision,0.69,1981
Kaboom!,,2600,Action,Activision,1.15,1981
Jawbreaker,,2600,Action,Tigervision,0.45,1981
International Soccer,,2600,Sports,Mattel Interactive,0.19,1981
Ice Hockey,,2600,Sports,Activision,0.49,1981
Grand Prix,,2600,Racing,Activision,0.48,1981
Front Line,,2600,Action,Taito,0.24,1981
Frogs And Flies,,2600,Action,Mattel Interactive,0.36,1981
Frogger,,2600,Action,Parker Bros.,2.2,1981
Freeway,,2600,Action,Activision,0.34,1981
Fireball,,2600,Action,Starpath Corp.,0.33,1981
Fast Food,,2600,Action,Unknown,0.29,1981
Fantastic Voyage,,2600,Action,20th Century Fox Video Games,0.34,1981
E.T.: The Extra Terrestrial,,2600,Action,Atari,1.97,1981
Dragonfire,,2600,Action,Imagic,0.37,1981
Donkey Kong Junior,,2600,Platform,Atari,0.97,1981
Donkey Kong,,2600,Platform,Coleco,1.46,1981
Demon Attack,,2600,Shooter,Imagic,2.13,1981
Defender,,2600,Shooter,Atari,1.05,1981
Deadly Duck,,2600,Shooter,20th Century Fox Video Games,0.22,1981
Dark Cavern,,2600,Shooter,Mattel Interactive,0.24,1981
Custer's Revenge,,2600,Action,Mystique,0.82,1981
Crazy Climber,,2600,Action,Atari,0.22,1981
Cosmic Ark,,2600,Shooter,Imagic,1.05,1981
Centipede,,2600,Shooter,Atari,1.36,1981
Carnival,,2600,Shooter,Coleco,0.34,1981
BurgerTime,,2600,Puzzle,Mattel Interactive,0.59,1981
Berzerk,,2600,Shooter,Atari,0.73,1981
Barnstorming,,2600,Action,Activision,0.43,1981
Atlantis,,2600,Shooter,Imagic,1.27,1981
Astroblast,,2600,Action,Mattel Interactive,0.31,1981
Asteroids,,2600,Shooter,Atari,4.31,1981
Armor Ambush,,2600,Action,Mattel Interactive,0.17,1981
Alien,,2600,Action,20th Century Fox Video Games,0.79,1981
Airlock,,2600,Action,Data Age,0.39,1981
Air Raid,,2600,Action,Men-A-Vision,0.77,1981
Adventures of Tron,,2600,Action,Mattel Interactive,0.67,1981
Yars' Revenge,,2600,Shooter,Atari,0.78,1982
Yars' Revenge,,2600,Shooter,Atari,0.78,1982
X-Man,,2600,Action,Universal Gamex,0.63,1982
The Activision Decathlon,,2600,Sports,Activision,0.55,1982
Spider-Man,,2600,Action,Parker Bros.,0.93,1982
Smurf: Rescue In Gargamel's Castle,,2600,Action,Coleco,0.59,1982
River Raid,,2600,Shooter,Activision,1.6,1982
RealSports Volleyball,,2600,Sports,Atari,0.13,1982
RealSports Tennis,,2600,Sports,Atari,0.5,1982
RealSports Football,,2600,Sports,Atari,0.26,1982
RealSports Baseball,,2600,Sports,Atari,0.21,1982
Reactor,,2600,Action,Parker Bros.,0.22,1982
Raiders of the Lost Ark,,2600,Action,Atari,0.5,1982
Q*bert,,2600,Puzzle,Parker Bros.,0.58,1982
Pressure Cooker,,2600,Action,Activision,0.15,1982
Porky's,,2600,Action,20th Century Fox Video Games,0.25,1982
Popeye,,2600,Platform,Parker Bros.,0.54,1982
Pole Position,,2600,Racing,Atari,1.18,1982
Polaris,,2600,Action,Tigervision,0.28,1982
Pitfall!,,2600,Platform,Activision,4.5,1982
Phoenix,,2600,Shooter,Atari,0.45,1982
Pac-Man,,2600,Puzzle,Atari,7.81,1982
Ms. Pac-Man,,2600,Puzzle,Atari,1.65,1982
Mr. Do!,,2600,Action,Coleco,0.27,1982
Mouse Trap,,2600,Action,Coleco,0.4,1982
Mountain King,,2600,Action,CBS Electronics,0.31,1982
Moon Patrol,,2600,Shooter,Atari,1.12,1982
Megamania,,2600,Shooter,Activision,1.1,1982
Mario Bros.,,2600,Platform,Atari,1.59,1982
Krull,,2600,Action,Atari,0.14,1982
King Kong,,2600,Action,Tigervision,0.69,1982
Keystone Kapers,,2600,Action,Activision,0.66,1982
Kangaroo,,2600,Platform,Atari,0.72,1982
Jungle Hunt,,2600,Platform,Atari,1.1,1982
Joust,,2600,Platform,Atari,1.08,1982
Jawbreaker,,2600,Action,Tigervision,0.45,1982
International Soccer,,2600,Sports,Mattel Interactive,0.19,1982
Halloween,,2600,Action,Wizard Video Games,0.62,1982
Gravitar,,2600,Action,Atari,0.38,1982
Grand Prix,,2600,Racing,Activision,0.48,1982
Gauntlet,,2600,Action,Answer Software,0.5,1982
Galaxian,,2600,Shooter,Atari,0.77,1982
Front Line,,2600,Action,Taito,0.24,1982
Frogs And Flies,,2600,Action,Mattel Interactive,0.36,1982
Frogger,,2600,Action,Parker Bros.,2.2,1982
Frankenstein's Monster,,2600,Action,Data Age,0.32,1982
Fireball,,2600,Action,Unknown,0.33,1982
Fast Food,,2600,Action,Unknown,0.29,1982
Fantastic Voyage,,2600,Action,20th Century Fox Video Games,0.34,1982
Enduro,,2600,Misc,Quelle,0.87,1982
E.T.: The Extra Terrestrial,,2600,Action,Atari,1.97,1982
Dragonfire,,2600,Action,Imagic,0.37,1982
Donkey Kong,,2600,Platform,Coleco,1.46,1982
Dig Dug,,2600,Puzzle,Atari,1.64,1982
Demon Attack,,2600,Shooter,Imagic,2.13,1982
Death Trap,,2600,Action,Avalon Interactive,0.17,1982
Deadly Duck,,2600,Shooter,20th Century Fox Video Games,0.22,1982
Dark Cavern,,2600,Shooter,Mattel Interactive,0.24,1982
Custer's Revenge,,2600,Action,Mystique,0.82,1982
Crazy Climber,,2600,Action,Atari,0.22,1982
Cosmic Ark,,2600,Shooter,Imagic,1.05,1982
Congo Bongo,,2600,Action,Sega,0.4,1982
Chopper Command,,2600,Shooter,Activision,0.5,1982
Chopper Command,,2600,Shooter,Activision,0.5,1982
Centipede,,2600,Shooter,Atari,1.36,1982
Carnival,,2600,Shooter,Coleco,0.34,1982
BurgerTime,,2600,Puzzle,Mattel Interactive,0.59,1982
